	65	70	75	
1670	0.056791	0.056882	0.054682	
1675	0.05517	0.057511	0.057829	
1680	0.056042	0.055951	0.056013	
1685	0.055046	0.055506	0.055789	
1690	0.055466	0.056154	0.056668	
1695	0.052796	0.05478	0.05426	
1700	0.053977	0.055151	0.055859	
1705	0.055276	0.055191	0.054415	
1710	0.054304	0.055735	0.055915	
1715	0.055003	0.055126	0.055647	
1720	0.056299	0.054365	0.055065	
1725	0.054892	0.053693	0.053074	
1730	0.054859	0.055032	0.053913	
1735	0.05509	0.053299	0.053347	
1740	0.053196	0.053743	0.054628	
1745	0.055358	0.053809	0.055492	
1750	0.054273	0.051681	0.052569	
1755	0.051955	0.052727	0.051399	
1760	0.051702	0.056459	0.053072	
1765	0.051775	0.053617	0.052327	
1770	0.050783	0.049435	0.053213	
1775	0.052886	0.050329	0.052843	
1780	0.053146	0.053183	0.052353	
1785	0.052303	0.05155	0.052902	
1790	0.051539	0.051502	0.051523	
1795	0.049209	0.052864	0.052825	
1800	0.050758	0.052972	0.052867	
