
Wavelength	Gen uRb 0°	Gen uRb 5°	Gen uRb 10°	Gen uRb 15°	Gen uRb 20°	Gen uRb 25°	Gen uRb 30°	Gen uRb 35°	Gen uRb 40°	Gen uRb 45°
l	0	5	10	15	20	25	30	35	40	45	
0.486	0.085171	0.085172	0.085195	0.085297	0.085586	0.086241	0.08754	0.089918	0.094049	0.10097	
0.488	0.085117	0.085119	0.085142	0.085244	0.085533	0.086187	0.087487	0.089865	0.093995	0.10092	
0.49	0.085065	0.085066	0.085089	0.085191	0.08548	0.086135	0.087434	0.089812	0.093942	0.10087	
0.492	0.085013	0.085014	0.085037	0.085139	0.085428	0.086083	0.087382	0.08976	0.09389	0.10082	
0.494	0.084961	0.084963	0.084986	0.085088	0.085377	0.086031	0.08733	0.089709	0.093839	0.10076	
0.496	0.084911	0.084912	0.084935	0.085037	0.085326	0.085981	0.08728	0.089658	0.093788	0.10071	
0.498	0.084861	0.084862	0.084885	0.084987	0.085276	0.08593	0.087229	0.089608	0.093738	0.10066	
0.5	0.084811	0.084813	0.084835	0.084937	0.085227	0.085881	0.08718	0.089558	0.093688	0.10061	
0.502	0.084762	0.084764	0.084786	0.084888	0.085178	0.085832	0.087131	0.089509	0.093639	0.10057	
0.504	0.084714	0.084715	0.084738	0.08484	0.085129	0.085783	0.087082	0.08946	0.09359	0.10052	
0.506	0.084666	0.084667	0.08469	0.084792	0.085081	0.085736	0.087034	0.089412	0.093542	0.10047	
0.508	0.084619	0.08462	0.084643	0.084745	0.085034	0.085688	0.086987	0.089365	0.093495	0.10042	
0.51	0.084572	0.084573	0.084596	0.084698	0.084987	0.085641	0.08694	0.089318	0.093448	0.10037	
0.512	0.084526	0.084527	0.08455	0.084652	0.084941	0.085595	0.086894	0.089272	0.093402	0.10033	
0.514	0.08448	0.084482	0.084504	0.084606	0.084895	0.085549	0.086848	0.089226	0.093356	0.10028	
0.516	0.084435	0.084437	0.084459	0.084561	0.08485	0.085504	0.086803	0.089181	0.093311	0.10024	
0.518	0.08439	0.084392	0.084415	0.084516	0.084806	0.08546	0.086758	0.089136	0.093266	0.10019	
0.52	0.084346	0.084348	0.08437	0.084472	0.084761	0.085415	0.086714	0.089092	0.093222	0.10015	
0.522	0.084303	0.084304	0.084327	0.084429	0.084718	0.085372	0.08667	0.089048	0.093178	0.1001	
0.524	0.084259	0.084261	0.084284	0.084386	0.084675	0.085329	0.086627	0.089005	0.093134	0.10006	
0.526	0.084217	0.084218	0.084241	0.084343	0.084632	0.085286	0.086584	0.088962	0.093092	0.10002	
0.528	0.084175	0.084176	0.084199	0.084301	0.08459	0.085244	0.086542	0.088919	0.093049	0.099976	
0.53	0.084133	0.084134	0.084157	0.084259	0.084548	0.085202	0.0865	0.088877	0.093007	0.099935	
0.532	0.084092	0.084093	0.084116	0.084218	0.084507	0.08516	0.086459	0.088836	0.092966	0.099893	
0.534	0.084051	0.084052	0.084075	0.084177	0.084466	0.085119	0.086418	0.088795	0.092925	0.099852	
0.536	0.08401	0.084012	0.084034	0.084136	0.084425	0.085079	0.086377	0.088754	0.092884	0.099812	
0.538	0.08397	0.083972	0.083994	0.084096	0.084385	0.085039	0.086337	0.088714	0.092844	0.099772	
0.54	0.083931	0.083932	0.083955	0.084057	0.084346	0.084999	0.086297	0.088675	0.092804	0.099732	
0.542	0.083892	0.083893	0.083916	0.084018	0.084307	0.08496	0.086258	0.088635	0.092765	0.099693	
0.544	0.083853	0.083854	0.083877	0.083979	0.084268	0.084921	0.086219	0.088596	0.092726	0.099654	
0.546	0.083814	0.083816	0.083839	0.08394	0.084229	0.084883	0.086181	0.088558	0.092688	0.099615	
0.548	0.083777	0.083778	0.083801	0.083903	0.084191	0.084845	0.086143	0.08852	0.092649	0.099577	
0.55	0.083739	0.08374	0.083763	0.083865	0.084154	0.084807	0.086105	0.088482	0.092612	0.09954	
0.552	0.083702	0.083703	0.083726	0.083828	0.084117	0.08477	0.086068	0.088445	0.092574	0.099502	
0.554	0.083665	0.083667	0.083689	0.083791	0.08408	0.084733	0.086031	0.088408	0.092538	0.099465	
0.556	0.083629	0.08363	0.083653	0.083755	0.084044	0.084697	0.085995	0.088372	0.092501	0.099429	
0.558	0.083593	0.083594	0.083617	0.083719	0.084007	0.084661	0.085959	0.088335	0.092465	0.099393	
